記事,タイトル,URL,サマリー
0,400億パラメータで日本語特化 NICT、独自の生成AIを試作 「GPT-3」と同規模のモデルも開発中,https://www.itmedia.co.jp/news/articles/2307/04/news174.html,情報通信研究機構（NICT）は7月4日、日本語に特化した大規模言語モデルを試作したと発表した。Webから独自収集した350GBの日本語テキストをもとに開発したモデルで、400億のパラメータを持つという。試作したモデルは、プロンプトを途中まで入力すると、大規模言語モデルが続きのテキストを生成する。ファインチューニング、強化学習などは実施しておらず、「性能面ではChatGPTなどと比較できるレベルではない」ものの、日本語でのやり取りが可能な水準には達したという。ただし、事実と異なる内容や意味をなさないテキストを生成することも確認しているとする。また、現在「GPT-3」と同規模となる1790億パラメータを持つモデルの事前学習をスタート。学習用テキストの大規模化にも取り組んでいるという。さらに、民間企業、大学、国立研究所などとの共同研究を拡大し、安全に活用できる大規模言語モデルの研究開発に産学官連携して取り組む予定としている。NICTは、2018年にGoogleが発表した言語モデル「BERT」をもとに、独自に収集した日本語のWebテキストを用いて識別系言語モデルを構築。Web情報分析システムや介護支援用対話システムなどで利用されてきたという。一方で、生成言語モデルは偽情報やバイアス、悪用のリスクが指摘されていたことから、解決に時間を要すると判断。活用はもう少し先になるとして、生成言語モデルの研究開発を基礎研究にとどめ、これまで大規模に実施してこなかったという。しかし、2022年にChatGPTが登場して以降、生成系言語モデルの有効性に大きな注目が集まった。その開発力が他分野にも影響する可能性があり、日本の開発力強化も課題となっていることから、NICTでも生成系言語モデルの開発を本格化したとしている。なお、試作モデルの開発期間は、これまでの言語モデルに対するノウハウもあったことから、UI含め4カ月で完成したという。
1,Matterに対応したスマートリモコン「Nature Remo nano」、3980円で登場,https://www.itmedia.co.jp/news/articles/2307/04/news173.html,スマートリモコン「Nature Remo」を製造販売するNature（神奈川県横浜市）は7月4日、Matter規格に対応した低価格モデル「Nature Remo nano」を発表した。3980円で、Amazon.co.jpで販売する。「Nature Remo nano」（手前）「Nature Remo」シリーズは、エアコンやテレビといった赤外線リモコン対応の家電をスマートフォンからネットワーク経由で操作できるようにするデバイス。Matterに対応したことで、ネット非対応の家電とMatter機器をつなぐブリッジとして動作するようになった。Natureは、スマートリモコンを節電に役立てる「デマンドレスポンス支援サービス」を提供しているが、新製品投入を機にエネルギーマネージメントのためのクラウドサービスを「Nature Green」と名付けて展開する方針を示した。まず、Nature Remoシリーズを導入した市場連動型の電気料金プラン契約者に向け、「市場連動オートメーション」を月額150円（税込）で今夏から提供する。電気の市場価格が高騰した際、Nature Remo nanoを使ってエアコン設定温度を自動で変更するという。赤外線リモコン対応の家電をスマートフォンで操作できる家電とデバイスの橋渡しをするMatterは、AppleやGoogle、Amazon.comなども参加する標準化団体・Connectivity Standards Alliance（CSA）が策定したスマートホーム規格。AmazonのEchoシリーズやApple「HomePod（第2世代）」など対応機器も相次いで登場している。
2,JR東、「えきねっと」で障害者割引乗車券を販売へ ただしマイナカード必須,https://www.itmedia.co.jp/news/articles/2307/04/news167.html,東日本旅客鉄道（JR東日本）は7月4日、切符予約サービス「えきねっと」で障害者割引乗車券の受け付けを2024年2月から始めると発表した。これまでは駅窓口でしか申し込めなかった。マイナンバーカードを使って身体障害者手帳の情報などを取得するため、利用にはマイナポータルへの事前登録が必要。えきねっとではこの他にも、「駅での受け取りが不要な新幹線eチケットへの障害者割引の適用」「東北、秋田、山形、北海道、上越、北陸新幹線の車いす対応座席の申し込み」「手伝いが必要な客向けに乗降介助のWeb予約」などの提供も検討中。詳細が決まり次第、改めて案内するという。
3,ベンチャー財務やSaaS経営者に衝撃 税処理ひっくり返った「信託型SO」とは何か？ 専門家に聞く（1/2 ページ）,https://www.itmedia.co.jp/news/articles/2307/04/news134.html,5月29日、ストックオプションの一種「信託型ストックオプション」（信託型SO）を巡る国税庁のある見解が、スタートアップ経営者たちに衝撃をもたらした。思わぬ税負担が増えるだけでなく、最悪過去にさかのぼって税を再計算し、社員から回収する必要すら発生するからだ。「何も良いことのなかった上場組として思いの丈を国税局の方々にぶつけてきましたが、基本的には全部鉄拳で返されました」──ヤプリの庵原保文代表は当時、自身のTwitterアカウントでこのように思いの丈をつづっていた。同じくスタートアップのPKSHA Technology（パークシャテクノロジー）の株価は、30日朝に一時前日比12％まで低下。同日中に「信託型ストックオプション制度の税務上の取り扱いについては対応を精査中」とする発表がなされるなど、一部のスタートアップにとってインパクトが大きかったようだ。話題の信託型SOとは、通常とは異なる方法で従業員に支給するストックオプションの一つだ。自身もスタートアップの財務責任者を務める公認会計士・中辻仁さんによれば、国税庁が示した見解により、信託型SOを巡る税処理が大きく変わり、企業の金銭的・事務的負担が増える可能性があるという。一体、影響を受けたスタートアップにはどんな負担がかかるのか。そもそも「信託型SO」って何？通常、ストックオプションは、企業が資金調達や従業員のモチベーションを目的に、株式の発行権を対象者にそのまま与えることが多い。例えば企業が「5年後、最大100株まで、1株1000円で発行できる権利」を社員に直接発行したとする。5年後、株価が1株1000円を超えていれば、社員はその差額を利益として得られるので、株価アップのために業務に励む──という仕組みだ。一方信託型SOでは、まず経営者などの「委託者」が、信託会社などの「受託者」にストックオプションの時価相当の現金を支払う。次に受託者が、株式を発行する「発行会社」（委託者が経営する企業）にストックオプションの時価相当の現金を支払い、金額相当のストックオプションを発行会社から受け取る。事実上、委託者の現金は企業の資金として手元に戻り、ストックオプションのみ受託者に渡る形だ。そして発行会社は、社内の規則やルールに従って従業員にポイントを付与する。そのポイントに応じ、発行会社ではなく受託者がストックオプションを付与する──というのが、信託型SOの仕組みだ。通常のストックオプションより複雑だが、メリットも多い。まず、受託者を通すことで株価を低いまま“冷凍保存”できるので、事業のフェーズにかかわらず、役員・従業員が得られる売却益を大きくできる点だ。従来の形だと、上場が近づくにつれて企業の価値が高まり、ストックオプションの価値も高くなる。従って新規に発行するストックオプションで得られる利益も低くなる（将来の株価との差額が小さくなる）。つまり事業が進んだ段階だと、ストックオプションの魅力が薄れる問題があった。一方、信託型SOを立ち上げておけば、ストックオプションの行使価値を低い時点のまま固定できる。これにより、事業が進んだ時点で参加した役員・従業員にも、よりメリットのあるストックオプションを発行できるわけだ。もう一つの利点は、節税につながることだ。ストックオプションは税制に適合する「税制適格」とそうでない「税制非適格」があり、税金の掛かり方が違う。税制非適格ストックオプションは、（1）権利を行使して株式を発行したとき、（2）株式を売却して利益を得たとき──の両方に税金がかかる。税率は（1）の場合は給与課税として最大55％、（2）の場合は譲渡所得課税になるので約20％だ。一方で税制適格ストックオプションは、株式を売却するときの約20％しか税金が掛からない。信託型SOは税制適格ストックオプションであり、節税につながると考えられていた。そのため上場前のスタートアップなどと相性が良く、先述したPKSHA Technologyやヤプリ、SmartHRなども導入していた。中辻さんによれば、導入を勧めるコンサルタントなどもいたという。1|2 次のページへ
4,移住先探す“Twitter難民” 注目浴びる新興SNS、受け入れ体制の現状は,https://www.itmedia.co.jp/news/articles/2307/04/news127.html,7月1日からTwitterに閲覧制限がかかっており、他サービスへの移行を検討するユーザーが増えている。中にはできるだけTwitterに近いサービスを求め、FacebookやDiscordといった大手SNSやチャットツールではなく、比較的新しいSNSに注目する人も見られる。一方、当の新興SNSの中にはまだ大量のユーザーを受け入れられる状況にないところもあり、事態は混迷を極めるばかりだ。そこで本記事では、Twitterからの“移住先”として注目を浴びる新興SNSの受け入れ体制について、現状をまとめる。Mastodonはユーザー急増分散SNS「Mastodon」はユーザーが急増中だ。合計アクティブユーザー数は先週末に約29万4000人増加。投稿は3倍になったという。MastodonはTwitterのような感覚で使えるSNSだが、その構造は異なる。企業や有志のユーザーがそれぞれ立ち上げた「インスタンス」というサーバ単位で住み分けるのが特徴だ。一般ユーザーはインスタンス内で交流できる。別インスタンスの投稿を見に行くこともできるが、Twitterのように単一の空間に全ユーザーが同居しているイメージではない。参考：Mastodonのユーザー急増、投稿が約3倍に Twitter混乱で参考：マストドンつまみ食い日記日本では日本人向けの「mstdn.jp」やクリエイター向けの「pawoo」といったインスタンスが有名だ。どちらも新規登録の制限などはしていないが、ユーザーが増えているためか動作が重く、思うように操作できないときがある（7月4日時点）。Misskey.ioは新規登録を停止中分散SNS「Misskey」の最大手インスタンス「Misskey.io」は、7月4日時点で新規登録を一時停止中だ。ただし、招待コードがあれば他ユーザーに優先してアカウントを作成できる。招待コードは一部の既存ユーザーから譲り受けるか、クリエイター支援プラットフォーム「pixivFANBOX」で提供中の有償プラン（600〜1200円）を契約することで受け取れる。参考：話題の分散SNS「Misskey」が居心地いい 行儀悪くて笑えるあのころのインターネットが帰ってきた ユーザー爆増中参考：Twitterからの移住者か、「Misskey.io」登録者20万人超え 1日で4万人増も一筋縄ではいかずMisskeyはMastodonと似た構造のサービスで、誰でもインスタンスを立ち上げることが可能だ。現在でも、Misskey.io以外のインスタンスであれば、平時と変わらず登録できるところもあるので、人数の多さにこだわらなければ今すぐ利用できる。Metaの「Threads」は7月6日リリース？Twitterの競合とうわさされる米Metaの新サービス「Threads」。7月3日には、米AppleのApp StoreでiOSアプリ版のストアページが公開された。リリース予定日は6日という。日本語もサポート予定だ。参考：Meta、Twitter競合の「Threads」の“予約注文”ページをApp Storeで公開ページの表記によれば、Threadsは「Instagramのテキストベースの会話アプリ」という。サービスの詳細については「コミュニティーが集い、関心のあるトピックから次に来るトレンドまで何でも話し合える場です。興味・関心のジャンルが何であれ、お気に入りのクリエイターや自分と同じ興味・関心を持つ人をフォローし直接つながることができます。あるいは、自分の熱心なファンを増やし、世界に向けて自分のアイデアや意見、クリエイティビティを発信することができます」としている。iOS版ThreadsのアプリページTwitter創業者が支援する「Bluesky」は新規登録停止Twitter（現在はX社）創業者のジャック・ドーシー氏が支援するSNS「Bluesky」は新規登録を停止中だ。2日午前4時ごろ、「記録的なトラフィック急増により性能が一時低下している」と投稿。その後「問題が解決するまで」として新規登録をストップした。参考：Twitter障害はスクレイピングではなく“自己DDoS”が原因？BlueskyはTwitterに似たUIのSNS。分散型のサービスで、ドーシー氏の支援を受けていることもあって“ポストTwitter”として注目を浴びていた。ただ、まだ正式なサービス提供の段階ではなく、プライベートβを提供しているところだ。そのため新規登録の停止前から、他のユーザーによる招待か、待機リストへの登録が必要だった。Twitterとは機能も異なり、投稿やその閲覧、リスト機能に似た「Custom feeds」などは使えるが、プロフィールの非公開化（いわゆる“鍵垢”）などは対応していない。創作SNS「くるっぷ」はアクセス制限中Anokuma（東京都港区）が手掛ける創作者向けSNS「くるっぷ」は、利用者数が急増したとしてアクセスを制限中だ。有償サブスクリプションに加入しているユーザーのみサービスを利用できる。今後、状況が改善し次第制限を解除するという。くるっぷは「オタク向け全振り」をうたう国産SNS。単一のID・パスワードで複数のユーザーアカウントを作成できる機能や、複数の投稿をひとまとめに管理できる「クリップボード」が特徴だ。TwitterのCEOがイーロン・マスク氏に交代して以降、同人クリエイターなどを中心にTwitterの移行先として注目を集めていた。ただし運営元Anokumaの中村清夏代表は自身のTwitterアカウントで「くるっぷはそもそもTwitterの代替を目指して作られたサービスではない」と、サービスのコンセプトが異なることを強調している。Twitterを巡る混乱はもはや、大騒動といっていいかもしれない。ニュースを取得するためにRSSに注目する人や、ドナルド・トランプ前米大統領が立ち上げた独自SNS「Truth Social」を試してみる人まで出てくる始末だ。一方で「インスタンス単位ではなく世界単位で緩くつながれるTwitterがいい」「企業の公式アカウントなどが充実していないと満足できない」として、移住をためらうユーザーも少なくない。中には「Twitterと共にインターネットから去る覚悟」とする人もいた。いずれにせよ、Twitterユーザーを丸ごと受け入れるような強大なインフラは、一朝一夕で出来上がるものではない。Facebookなど大手SNSに移行するならまだしも、全く同じユーザー体験を今すぐに、というのは難しい話だろう。Twitterが今後どうなるかは定かでない。とはいえ、自分の情報発信・取得の方法に合わせ、最適なSNSの使い方や組み合わせを今のうちに模索しておく価値はあるかもしれない。
5,座るだけで小顔に見える？ 錯視を利用したゲーミングチェア バウヒュッテから,https://www.itmedia.co.jp/news/articles/2307/04/news165.html,ゲーミング家具ブランド「Bauhutte」（バウヒュッテ）を展開するビーズ（大阪府東大阪市）は7月4日、錯視を利用し、座った人の顔を小さく見せるというゲーミングチェア「ストリーマーズチェアG-210」を発売した。価格は4万4000円。顔出しで活動する配信者向けの製品。背もたれの形状が大きく広がった扇状になっており、座っている人の顔を相対的に小さく見せるという。バウヒュッテは、円の周囲をより大きな円で囲うと、その中心にある円が小さく見える錯視「デルブーフ錯視」を取り入れたとしている。例えば、2つの同じ大きさの黒丸で比較した例などが有名だという。「座るだけで小顔バフの効果がかかり、『身体に対してやたらと顔が大きく見える』という、顔出し配信・Web会議のお悩みあるあるに応える一脚」（バウヒュッテ）。クッションやアームレストにも柔らかな素材を採用し、椅子としても使いやすいものを目指したという。利用イメージカラーはホワイトとブラックの2色、サイズは68（幅）×63.5〜126（奥行）×76.5〜125.5（高さcm、座面高は41〜4cm、耐荷重は10kg。カラーはホワイトとブラックの2色
6,マイナカード、暗証番号なしでも交付へ 高齢者など番号管理に不安のある人が対象、11月から,https://www.itmedia.co.jp/news/articles/2307/04/news160.html,松本剛明総務大臣は7月4日、認知症などでマイナンバーカードの暗証番号を覚えられない高齢者などを対象に、暗証番号を設定しなくてもカードを交付できるようにする方針を示した。11月ごろの開始を目指す。マイナンバーカードは登録時の設定した4桁の暗証番号を公的個人認証サービスなどで本人であることを確認するために使用する。例えば「マイナ保険証」利用登録の本人確認などにも使われるが、顔認証などで代用できる部分は対応していく考え。一方、福祉施設では入居者の代理でマイナカードの交付を受ける際の負担が大きく、改善を求める声が上がっていた。松本総務大臣は「高齢者施設などから様々な意見をもらっている。代理交付の際、代理人の負担軽減につなげたい」として、暗証番号の設定が不要なカードの申請受付と交付を11月頃に始めるとした。マイナンバーカードの交付申請数は6月に累計9730万件を超え、人口に対する割合は約77.3％。松本総務大臣は「できる限り多くの方々にカードを取得してもらえるようにする」と話している。情報システム機構のWebサイトより）
7,これ変身ベルトだろ 腰に巻く扇風機「腰ベルトファン360」発売 8480円,https://www.itmedia.co.jp/news/articles/2307/04/news158.html,サンコーは7月3日、小型扇風機が5つついたベルト「腰ベルトファン360」を発売した。「変身ベルトのように腰に巻いて、5カ所の扇風機から風を全身に浴びられる」（同社）という。価格は8480円。商品の装着イメージ腰に装着し、バックル部分の電源ボタンを押すことでスイッチをオンにできる。風量は弱・中・強の3段階から切り替え可能。バッテリー内蔵で、充電端子はUSB Type-C。フル充電の場合、風量強で1時間半から2時間ほど利用できる。商品のイメージ農作業やキッチンでの料理など、作業中の暑さ対策で利用を見込む。サンコーによれば、過去に発売したベルトに装着できる携帯ファンが好評だったことから、ベルトと扇風機が一体化した製品の発売に至ったという。商品の使い方
8,小中学校向け生成AIガイドライン 文科省が発表 “夏休みの宿題にChatGPT”はどう指導する？,https://www.itmedia.co.jp/news/articles/2307/04/news155.html,文部科学省は7月4日、夏休みを前に「ChatGPT」などの文章生成AIを小中学校で活用する際の考え方をまとめた暫定的なガイドラインを公開した。宿題などで生成AIの生成物をそのまま提出することは、「評価基準によっては不正行為になり、自分のためにならないと指導する」としている。文部科学省は7月4日、小中学校向けにまとめた生成AIのガイドラインを発表した。チャットAI「ChatGPT」などの文章生成AIを教育現場で活用する際の考え方をまとめたもの。6月末時点の知見と前置きした上で、「有効な場面を検証しつつ、限定的な利用から始めることが適切」としている。生成AIの基本的な考え方ガイドラインでは基本の考えとして「生成AIが、どのような仕組みで動いているかの理解や、どのように学びに生かしていくかの視点、近い将来使いこなすための力を意識的に育てていく姿勢は重要」と記載。一方、著作権侵害のリスクなどの懸念点も挙げ「教育現場の活用には、児童・生徒の発達の段階を十分に考慮する必要がある」としている。そのため、現時点では限定的な活用から始めるのが適切で、十分なリスク対策を立てられる学校でパイロット的に取り組みを進め、成果や課題を検証する必要があるとしている。また、ファクトチェックをする習慣など、AI時代に必要な資質や能力の向上や、それを教える教師のAIリテラシーも高める必要があるとも言及した。ガイドラインで生成AIの適切な活用例として以下を挙げている。教師が生成AIが生成する誤りを含む回答を教材として使い、その性質や限界等を生徒に気付かせることグループの考えをまとめたり、アイデアを出す活動の途中段階で、生徒同士で一定の議論やまとめをした上で、足りない視点を見つけ議論を深める目的での活用英会話相手としての活用や、より自然な英語表現への改善や一人一人の興味関心に応じた単語リストや例文リストの作成での活用発展学習として、生成AIを使った高度なプログラミングを行わせること逆に、適切ではない例として以下を挙げている。生成AIの性質やメリット・デメリットに関する学習を十分に行っていないなど、情情報活用能力が十分育成されていない段階で、自由に使わせること各種コンクールの作品やレポート・小論文などで、生成AIによる生成物をそのまま成果物として応募・提出すること定期考査や小テストなどで子供達に使わせること児童・生徒の学習評価を、教師がAIからの出力のみをもって行うこと夏休みの宿題などで、読書感想文や日記、レポートを課題とする場合は「生成AIの生成物をそのまま提出することは、評価基準によっては不正行為になり、自分のためにならないと指導する」「レポートを評価する際の視点を前もって設定する」「課題の口頭発表会などを設け、内容を十分理解できているかなど確認する機会をつくる」などの工夫が必要になるとも言及している。夏休みなどの長期休暇時の課題について
9,セブンのコピー機、銀行残高やクレカ明細なども発行可能に,https://www.itmedia.co.jp/news/articles/2307/04/news149.html,セブン銀行は7月4日、全国のセブン-イレブンに設置しているマルチコピー機から、銀行預金の残高証明書や保険会社の控除証明書、クレジットカードの取引明細書などを発行できるサービスを、2023年度中に提供すると発表した。金融機関など対応事業者が発行する証明書類を、セブン銀行のシステムを通じて発行する。金融機関の証明書類だけでなく、事業者の源泉徴収票や雇用（就労）証明書発行にも対応する計画だ。ユーザーは、SMSで届いたQRコードをマルチコピー機にかざし、手数料を支払って証明書を受け取る。マルチコピー機ではこれまで、住民票の写しや印鑑証明書の発行などの行政サービスを利用できた。今後はより幅広い事業者が発行する証明書に対応していく。
10,イラスト1枚で動きのあるライブ配信を SHOWROOM「ペライブ」,https://www.itmedia.co.jp/news/articles/2307/04/news144.html,動画配信プラットフォームを運営するSHOWROOMで7月4日、イラスト1枚からでも動きのあるライブ配信を行えるWindows向けソフト「ペライブ」の無料提供が始まった。PCカメラやバーチャル機材などは不要。“動くライブ配信”を手軽に始められる。イラストを1枚設定すると、キーボード操作で左右移動や横揺れ、マウス操作での拡大縮小ができる。まぶたの開閉や口の開閉などのイラストを複数設定すれば、自動で自然な瞬きを行い、マイクの音声に反応して口パクを自動で表現する。SHOWROOM SHOOTINGオリジナルのミニゲームも実装。第1弾として、配信しながらシューティングゲームを楽しめる「SHOWROOM SHOOTING」を用意した。ペライブを使えば、普段は止め絵で活動しているライバーも、気軽に動画配信を始められるとしている。
11,ドコモの「dカード GOLD」、1000万会員を突破,https://www.itmedia.co.jp/news/articles/2307/04/news132.html,NTTドコモは7月4日、クレジットサービス「dカード GOLD」の会員数が6月28日に1000万人を突破したと発表した。dカードは、クレジットカード、電子マネー「iD」、dポイントカードの機能を1枚にまとめたカード。dカードとdカード GOLDがあり、GOLDではドコモの携帯電話（irumo、ahamoを除く）や光接続サービス「ドコモ光」（ahamo光を除く）の利用料金から10％、iDでの支払いで1％などdポイントで還元される。dカード GOLDは、2015年にそれまでの「DCMX GOLD」からリニューアルして誕生。16年に100万会員、19年に500万会員を超えた。dカードとの合計では今年6月12日に1700万人を突破している。
