記事番号,タイトル,URL,サマリー
0,日本株33年ぶり高値、米物価懸念後退と日銀短観好感－景気敏感に買い,https://www.bloomberg.co.jp/news/articles/2023-07-02/RX6U07T1UM0W01?srnd=cojp-v2,３日の東京株式相場は大幅に反発。東証株価指数（ＴＯＰＩＸ）と日経平均の終値は1990年以来の高値を付けた。米国の個人消費支出（ＰＣＥ）統計を受けて、インフレ懸念が後退した。日本銀行の企業短期経済観測調査（短観、６月調査）で大企業の業況判断が製造業、非製造業ともに市場予想を上回ったことも好感された。ＴＯＰＩＸの終値は前営業日比32.21ポイント（1.4％）高の2320.81日経平均株価は564円29銭（1.7％）高の３万3753円33銭投資家心理が上向き、景気敏感銘柄である機械株や素材関連に買いが先行した。前週末の米フィラデルフィア半導体株指数（ＳＯＸ）が高く、国内の半導体関連株も大幅に上昇。東証33業種別株価指数は全て値上がりした。市場では、６月末に向けた年金ファンドによるリバランス（資産の再配分）の売りが一巡したとの見方があった。市場関係者の見方ニッセイ基礎研の井出真吾チーフ株式ストラテジストＰＣＥデフレーターが事前予想よりも弱めだったことが好材料で、日銀短観が改善したことなども加わった米ＳＯＸが上昇したため、日本でも半導体関連が買われたただ投資家の買いは一巡した印象があり、上昇相場は今の水準付近でいったん終了する可能性はあるマネックス証券の広木隆チーフストラテジスト６月末の年金ファンドのリバランスに伴う需給の重しが通り過ぎ、米株高や日銀短観などを材料に一段と上値を追う相場になりそうだ今週公表予定の供給管理協会（ＩＳＭ）景況指数や雇用統計などの米重要統計で景気の底堅さを確認できれば景気敏感株への物色は一段と強まるだろう半導体関連などの電機や機械株を始め、円安の効果も踏まえれば自動車といった日本の基幹産業が上げの主軸になるだろう東証33業種上昇率上位 機械、電機、海運、化学 下落率上位 ー関連記事
1,トヨタやＭＵＦＧ除外の忖度なき東証新指数、海外マネーに期待と懸念,https://www.bloomberg.co.jp/news/articles/2023-07-02/RWZGQ7T0AFB401?srnd=cojp-v2,日本を代表する トヨタ自動車や 三菱ＵＦＪフィナンシャル・グループ（ＭＵＦＧ）ですら除外された東京証券取引所の新たな株価指数の算出が３日、始まった。プライム市場の中で厳しい採用条件に合格し、稼ぐ力に優れた150社は海外マネーのさらなる呼び水になると期待される半面、グロース（成長）銘柄に偏った構成を懸念する声も出ている。東証外観 Photographer: Toru Hanai/Bloomberg「ＪＰＸプライム150」はプライム市場の時価総額上位で資本収益性に優れ、同時に株価純資産倍率（ＰＢＲ）が１倍を超す150銘柄で 構成された新指数だ。東証が進める企業価値向上策の一環で導入され、５月公表の選定銘柄からは時価総額日本一のトヨタやメガバンクのＭＵＦＧ、 三井住友フィナンシャルグループなどが漏れた。野村アセットマネジメントの石黒英之シニア・ストラテジストは、過去の日本の株価指数は知名度の高い企業を組み入れるのが常だったが、今回は「忖度（そんたく）されていない今までになかった指数」だと評価。日本や世界の変化に対応できる企業が入り、「米Ｓ＆Ｐ500種株価指数に近い」とみている。トヨタなど除外企業にとっても「指数に入るモチベーションにつながる」と言う。初日のプライム150は1062.28で取引を開始し、一時1068.64まで上昇。終値は1067.96だった。同指数は基準日の５月26日を1000ポイントとして算出し、銘柄入れ替えは年１回、８月（初回は2024年８月）に行う。東証を傘下に置く日本取引所グループ（ ＪＰＸ）によると、構成銘柄の株主資本利益率（ＲＯＥ）中央値は15％とＳ＆Ｐ500の15％、ストックス欧州600の14％とほぼ同じ。１株利益の成長率は11％と米欧指数の7.9％を上回る。ＪＰＸプライム150の指数構成ウエート上位企業名（コード） ウエート（％） ① ソニーＧ（6758） 5.7 ② キーエンス（6861） 4.2 ③ ＮＴＴ（9432） 3.2 ④ 東エレク（8035） 2.5 ⑤ 日立（6501） 2.4 ⑥ 武田薬（4502） 2.4 ⑦ 第一三共（4568） 2.4 ⑧ 任天堂（7974） 2.3 ⑨ ＨＯＹＡ（7741） 2.2 ⑩ 信越化（4063） 2.2出所：ＪＰＸ、ウエートは５月26日時点指数を開発したＪＰＸ総研のインデックスビジネス部統括課長の橋本元洋氏は、欧米指数と比べても質的に遜色がなく、銘柄数はプライム市場の１割程度でも時価総額では約５割に達すると説明。稼ぐ力と規模感のある企業がさらに成長しないと日本経済や株式市場の活性化は難しく、「欧米市場を引っ張る『ＧＡＦＡＭ』のように日本でも150が引っ張ってほしい」と述べた。もっとも、プライム150が持続的に国内外の投資家に受け入れられるかどうかは未知数だ。三菱ＵＦＪモルガン・スタンレー証券の古川真チーフ・ポートフォリオストラテジストは、結果的に採用銘柄は「超大型グロース株のスマートベータのような顔ぶれ」だと指摘する。ＧＡＦＡＭの一角である米 アップル株が今年に入り再び最高値を更新しているように、景気の不透明感が強い局面では成長力の高いグロース株が買われる半面、景気が浮揚する局面では投資指標が割安なバリュー株の方が優位になる傾向がある。アップル、時価総額３兆ドル到達－ハイテクブームの強さ見せつけ新たな指数が投資家に広く認知され、投資資金を呼び込むにはパフォーマンスの裏付けも欠かせない。基準日から取引開始価格までの直近約１カ月ではプライム150の上昇率は6.2％と、東証株価指数（ＴＯＰＩＸ）の7.5％を下回った。海外投資家の日本株に対する注目度が高い間に良好なパフォーマンスを示すことができるかどうかも重要だ。また、資本効率に優れた企業で構成され、14年のスタート当時は多くの投資家の注目を集めたＪＰＸ日経インデックス400がＴＯＰＩＸとの明確なパフォーマンスの違いを見せられず、市場で継続的に存在感を示せなかった記憶も市場関係者の間で残っている。三菱モルガンの古川氏は、プライム150に海外投資家や個人の資金が流入する可能性はあるが、「かつてＪＰＸ日経400から降りたような一部年金などからすれば、投資には相当な意志決定が必要になりそう」との見方を示した。
2,ウォール街の住人たち、悲喜こもごも－弱気予想尻目に米株高進行,https://www.bloomberg.co.jp/news/articles/2023-07-03/RX6UVODWLU6801?srnd=cojp-v2,数兆ドル規模の人工知能（ＡＩ）ラリーがペースを上げる中、重力をものともしない株価上昇を解き明かそうと努力する米ウォール街の住人たちには同情したい。米Ｓ＆Ｐ500種株価指数は今年１－６月（上期）に16％上昇という思いにもよらない展開を見せ、弱気予想が外れ、株価予測をなりわいとする人々の人生を厄介なものにしている。これまでのところ米経済の底堅さに驚かされたセルサイドのプロたちは、この先の展開について意見が割れたままだ。ゴールドマン・サックス・グループのデービッド・コスティン氏は株価の一段高を予想する一方、 モルガン・スタンレーのマイク・ウィルソン氏と ＪＰモルガン・チェースのマルコ・コラノビッチ氏は最近の株価上昇は短命に終わるとみている。バンク・オブ・アメリカ（ ＢｏｆＡ）ではサビタ・スブラマニアン氏は市場でも最も楽観的な一人だが、同僚のマイケル・ハートネットは「大きな上昇の後に大崩れが来る」と予想している。関連記事ただ一つ確かなことは、Ｓ＆Ｐ500種はそうしたプロたちの年末の目標株価（平均）を既に突破しているということだ。ストラテジストらは同指数が4100をわずかに下回って今年を終えるとしているが、６月30日終値は4450.38とこの予想を8.5％上回っている。米連邦準備制度のタカ派的な政策の影響で、自分たちの見立てが近く正当化されることを期待する一部の株式アナリストが最近、やや守勢に回っているように見えるのも不思議ではない。大型テクノロジー株が急上昇していることから、目標を幾分上方修正したいとの誘惑に駆られ、顧客に対し控えめな言葉遣いをするようになっているアナリストもいる。弱気と強気ＢＭＯキャピタル・マーケッツのブライアン・ベルスキ氏は、「ベア（弱気派）は賢いように見えるが、ブル（強気派）は稼げる」と言う。同氏は最近、自身の年末時点予想を従来の4300から4550に引き上げている。リセッション（景気後退）リスクや業績下方修正などが懐疑派の主な懸念材料で、加えて年後半には市場や消費・投資サイクルに何らかの大きな変化も起こりかねず、その場合は現在リスク資産に慎重な見方の正当性が証明されることになる。ただ、少なくとも今のところ、相場は上昇を続けており、データは米国がリセッションを回避する可能性を示唆している。ソーファイの投資戦略責任者リズ・ヤング氏は「私は間違いなくこのような展開になると見込んでいなかった投資家の一人で、こうした展開が始まった時点でさえ、これほどの持続や規模は想定していなかった。かつて慎重だった人たちは、市場を見て、何か見逃しているだろうかと自問自答しそうだ」と語る。シティグループのスコット・クロナート氏は、自身の目標株価予想引き上げを見送った理由として、「業績修正の具体的な裏付けがない」ことを挙げた。変人扱い経済と市場のサイクルが従来の常識を覆す形となっている新型コロナウイルスのパンデミック（世界的大流行）後の今はこの奇妙な時期で、ある四半期には天才に見えた弱気派も、次の四半期には変人扱いされる危険がある。一方、テクノロジーブームに賭け評判を高めてきた専門家は、状況が悪化すれば、自らの強気見通しがバブル的に見えるのではとの疑念に少なからずとらわれている。モルガン・スタンレーの元米株チーフストラテジスト、アダム・パーカー氏によると、株式市場の判断は、広義には「強気」「弱気」「正解」「不正解」の４つに分類されるという。今はトライベリエート・リサーチを率いる同氏は「最悪なのは弱気スタンスの企業に在籍していて、それが不正解の時だ。顧客のために相場上昇の機会を捉えることができなかったからだ」と説明した。パイパー・サンドラーのマイケル・カントロウィッツ氏は依然としてＳ＆Ｐ500種が年末までに3225に下落すると予想。現時点で見通しを変えるつもりはないとし、ストラテジストらによる最近の上方修正は2000年と07年に見られたモメンタム重視の動きに似ていると指摘した。オッペンハイマー・アセット・マネジメントのジョン・ストルツファス氏は22年と比べ、今年はずっと心地よい日々が続いている。同氏は昨年Ｓ＆Ｐ500種が5330で終わると予想したが、実際は3839.5で終了。今年については4400の目標を掲げているものの、米金融当局による６月の利上げ見送りを受けて、インフレと雇用の一段のデータを待ちながら目標株価の引き上げを検討している。一方、パーカー氏は米国株全体の上昇規模とクレジットの悪化を考慮すれば、７カ月前より慎重を期すことは理屈に合っていると主張。ただ、突然見方を変えればストラテジストとしてのロジックへの信頼性を損なうリスクもある。「変わってはならないとは決して思っていない。なぜなら、データは変化するものであり、新しいデータに反応し、それを消化し、自分のセオリーに適合させなければならないと考えているだ」と同氏は語った。原題： Wall Street’s ‘Crystal Ball’ Shatters as Stocks Stage Big Rally（抜粋）
3,サウジ、日量100万バレルの自主減産を継続－ロシアは輸出削減へ,https://www.bloomberg.co.jp/news/articles/2023-07-03/RX7R2PDWRGG001?srnd=cojp-v2,"サウジアラビアは自主的な原油減産を１カ月延長する。世界経済への懸念が根強い中で供給量の抑制を続ける。石油輸出国機構（ＯＰＥＣ）と非ＯＰＥＣ主要産油国で構成する「ＯＰＥＣプラス」でサウジと連携するロシアも原油輸出を削減する計画を明らかにした。国営サウジ通信（ＳＰＡ）が報じた声明によると、サウジはＯＰＥＣプラスで合意された減産に加えて７月から始めた日量100万バレルの自主減産を８月も実施する。さらに延長する可能性もあるという。今回の減産により、サウジの生産量は日量約900万バレルと、ここ数年で最も少ない水準となる。これまでのところ、供給縮小は原油価格の押し上げにほとんど寄与していない。ロンドン時間午前11時27分時点で、北海ブレント原油先物は0.9％高のバレル当たり76.12ドル。Oil Price Reaction The extra OPEC+ output cuts haven't sustainably boosted prices Source: ICE Futures Europeサウジの取り組みをロシアも後押しする。ロシアは来月の原油輸出を自主的に日量50万バレル削減する計画だ。ノバク副首相が明らかにした。産油量も日量50万バレル引き下げる見通しだという。ウクライナでの戦争の費用がかさみ財政の逼迫（ひっぱく）に直面するロシアは今年これまで、ＯＰＥＣプラスで合意した減産の実施に消極的だった。中国の需要低迷が影響し、原油価格は76ドル付近にとどまっている。これはサウジの均衡予算に必要だと国際通貨基金（ＩＭＦ）が見なす水準を下回る。このためサウジの減産延長に意外性はなく、ブルームバーグが調査したトレーダーやアナリストのほぼ全員がこの決定を予測していた。原油価格は今年上昇すると広く見込まれていたが、金利上昇に伴う景気への懸念から11％程度下落した。ゴールドマン・サックス・グループやモルガン・スタンレーなど大手米金融機関は、原油価格が100ドルを回復するとの予測をこれまでに撤回した。原題： Saudis and Russia Extend Oil Supply Cuts, Bolstering Prices (2)（抜粋）"
4,中国、半導体製造に不可欠な金属の輸出を制限へ－コスト上昇の恐れ,https://www.bloomberg.co.jp/news/articles/2023-07-03/RX7ZXPDWRGG001?srnd=cojp-v2,中国は、半導体などの製造に利用される２種類の金属に輸出制限措置を講じた。電子機器の製造コスト上昇につながる可能性が高いほか、高度なコンピューター技術の開発レースを巡り地政学的な緊張が悪化する恐れがある。中国商務省は３日の声明で、ガリウムとゲルマニウム、およびそれらの化合物について、８月１日から輸出規制の対象になると 発表。同措置の導入は国家安全保障ならびに国益に資すると説明した。ガリウムとゲルマニウムは、太陽光パネルやレーザー、暗視ゴーグル、コンピューター向け半導体など幅広い製品に用いられている。声明によれば、これら２つの金属の輸出業者は、輸出を開始・継続する際に商務省にライセンス取得の申請を行う必要がある。国外の買い手やその用途についての詳細を報告する義務が生じるほか、必要に応じて国務院による精査が行われる可能性もある。原題： China to Restrict Exports of Metals Critical to Chip Production（抜粋）
5,米ＩＳＭ製造業総合景況指数、６月は46に低下－20年５月以来の低水準,https://www.bloomberg.co.jp/news/articles/2023-07-03/RX848IDWX2PS01?srnd=cojp-v2,米供給管理協会（ＩＳＭ）が発表した６月の製造業総合景況指数は46と、前月の46.9から低下。2020年５月以来の低水準となった。ブルームバーグがまとめた市場予想の中央値は47.1だった。同指数は50が活動の拡大と縮小の境目を示す。統計の詳細は表をご覧ください原題： US Manufacturing Activity Shrinks by Most in Three Years（抜粋）June US ISM Manufacturing Falls to 46.0; Est.
6,米２ー10年債、逆イールドが進行－1980年代以来の大幅な差に接近,https://www.bloomberg.co.jp/news/articles/2023-07-03/RX801UDWLU6801?srnd=cojp-v2,３日の米国債市場では主要年限の逆イールド（長短利回りの逆転）現象が数十年来の大きな幅に迫っている。米金融政策のさらなる引き締めが予想されていることが背景にある。２年債利回りは4.96％に上昇し、10年債利回りを最大110.8ベーシスポイント（ｂｐ、１ｂｐ＝0.01％）上回った。ブルームバーグがまとめたデータによれば、2－10年債の逆イールドは３月に110.9ｂｐに達し、1980年代初期以来で最大に開いていた。2－10年債のスプレッド 出所：ブルームバーグ政策金利が今月とさらに年内もう一度0.25ポイントずつ引き上げられるとの期待が強まる中、逆イールドの進行は勢いを増している。現在の金利スワップ市場は、７月25－26日の連邦公開市場委員会（ＦＯＭＣ）会合で約23ｂｐの利上げが決定することを織り込んでいる。９月までの利上げ確率を100％、年内にもう一度利上げがある確率を約50％とする市場の見方が反映されている。ＦＯＭＣはこれまでの利上げが経済に与えた影響を見極めるため、６月会合では政策金利を据え置き、それまで10会合連続していた利上げはいったん停止となった。しかしそれ以降、予想より強い 経済データが相次ぎ、追加引き締めの可能性が高まったと受け止められている。原題： Treasury Yield-Curve Inversion Approaches Multi-Year Extreme（抜粋）
7,みずほ証、米国で今期100人超採用へ－債券引き受けや株調査など,https://www.bloomberg.co.jp/news/articles/2023-07-03/RX0YO6T0AFB401?srnd=cojp-v2,みずほフィナンシャルグループ傘下のみずほ証券は来年３月末までに、米国で100人以上を採用する計画だ。米州拠点は前期（2023年３月期）の利益が過去最高を記録するなど伸びており、人員強化でさらなる成長を目指す。みずほ証券の浜本社長（2022年８月） Photographer: Shoko Takayasu/Bloomberg浜本吉郎社長がインタビューで明らかにした。投資銀行部門で債券引き受け業務の他、ＴＭＴ（テクノロジー・メディア・通信）やヘルスケア、エネルギーの各セクター担当者を増やす。また、グローバルマーケッツ部門では債券セールスや株式リサーチを強化する。みずほ証の米州拠点の前期 経常利益は978億円と過去最高を記録。同証全体の利益の88％を占めた。米拠点の３月末時点の従業員数は約940人。今期中の採用も含め、26年３月末までには同拠点の従業員数を３割増やす予定という。国内３メガバンクグループは収益機会を求めて世界最大の資本市場である米国での事業拡大を加速させている。みずほＦＧは５月、企業の合併・買収（Ｍ＆Ａ）助言を手掛ける米グリーンヒルを５億5000万ドル（約760億円）で 買収すると発表した。浜本社長は、Ｍ＆Ａの初期段階から関与できるようになれば、その後の資金調達に関する業務など「バリューチェーン全部が大きくなる」として、「今までになかったチャンスだ」との期待を示した。株式の引き受け業務では中長期的に米国で10位以内の定着を目指す方針を示した。ブルームバーグのデータによると、みずほは22年の米社債引き受けランキング、米株式・エクイティーリンク債の引き受けランキングでともに13位だった。22年の米社債と米株式・エクイティーリンク債の引き受けランキング Source：Bloomberg一方、浜本社長は昨年に資本業務 提携を結んだ 楽天グループ傘下の楽天証券については、同証券の商品力やコンサルティング力などの強化にともに取り組んでいく姿勢を示した。みずほ証は楽天証に19.99％を出資して持ち分法適用会社としており、「リテールビジネスの大事なバリューチェーン」との認識を示した。関連記事：
8,ポンド、４－６月は主要10通貨で最大の値上がり－対ドルで約３％高,https://www.bloomberg.co.jp/news/articles/2023-07-03/RX7N7QDWRGG001?srnd=cojp-v2,主要10通貨で４ー６月（第２四半期）の上昇率が最も高かったのはポンドだった。金融政策当局者がインフレ退治のため利上げを進めたことが背景にあるが、景気の先行きに対する懸念は一段と強まっている。第２四半期にポンドは対ドルで３％程度上昇した。対ドルでの上昇は2021年半ば以来の３四半期連続。一方、円は10通貨の中で最も下落した。ポンドは対円で12％高となり、過去10年余りで最大の上昇を記録した。日本銀行は超緩和的な金融政策を維持している。ポンドは英国債利回りの急伸で押し上げられたが、これはイングランド銀行（英中央銀行）の引き締めサイクルが完了にはまだほど遠いとの投資家の見方を反映している。英中銀は６月に利上げペースを加速させ、政策金利を0.5ポイント引き上げ５％とした。トロントのマネックス・カナダの通貨アナリスト、ジェイ・ジャオマレー氏は「金利見通しの乖離（かいり）を考えると、ポンドがこれ以上に値上がりしていないことは意外だ」と述べ、「これは今の英国経済が、さらなる利上げ期待は成長懸念を強める状況にあることが大きな理由だろう」と指摘した。英中銀会合の政策発表日程にリンクしたスワップ金利の動向によれば、短期金融市場では政策金利が来年２月には6.3％と、1998年以来の高水準へ引き上げられる見通しが織り込まれている。原題： Pound Is Beating Rest of G-10 Even as UK Economic Unease Grows（抜粋）
9,トルコ国営銀行がリラ買い介入再開、通貨安が再加速で－関係者,https://www.bloomberg.co.jp/news/articles/2023-07-03/RX7V4RT0G1KW01?srnd=cojp-v2,３日の外国為替市場で、複数のトルコ国営銀行がリラを支えるため再び介入に入った。トレーダーらが明らかにした。同国の連休が明け、リラの下げが加速していた。公に話す権限がないとして匿名で語った関係者によると、１ドル＝26.07リラを大きく割り込むことがないよう国営銀行はドル売り介入を実施。正午までに介入規模は10億ドル前後に達したという。リラはこの日、対ドルで一時0.4％安を付けたが、イスタンブール時間午後１時半の時点では0.2％安の26.0675リラで取引されている。トルコの国営銀行は外国為替市場での介入について明言しない。エルドアン大統領は６月、ドル売り介入の抑制と市場が決定する為替レートを支持する新経済チームを 指名。これ以降、国営銀行は定期的な介入を控えていた。原題： Turkish State Banks Resume Supporting Lira as Rout Deepens（抜粋）
10,企業利益は１－６月がピーク、今後悪化へ－ＪＰモルガンのマテイカ氏,https://www.bloomberg.co.jp/news/articles/2023-07-03/RX7OVIT0AFB401?srnd=cojp-v2,企業の利益率は2023年１－６月（上期）が最高かもしれない。ＪＰモルガン・チェースのストラテジスト、ミスラブ・マテイカ氏は企業の利益率が過去最高付近にとどまる可能性は低いと指摘した。インフレ鈍化と成長減速の中で値上げをすることが不可能になると予想。同氏はリポートで「過去２年は企業利益について強気だった」とした上で、「７－12月（下期）も底堅いかもしれないが、年内の残り期間に上振れがあるとは考えていない」と分析した。同氏は昨年末にかけて株式の見通しに 慎重な姿勢に転じたが、世界の株式は１－６月に上昇。ＭＳＣＩワールド指数は上期に14％近く上昇し、2019年以来の好調さだった。しかし、この上昇が続かない示唆は増えている。シティグループの指数は利益見通し下方修正が上方修正を上回ることを示し、ブルームバーグ・インテリジェンスによればアナリストは通期の減益を予想。運用者はここから株式の上値を追うのは危険だろうとの警告を強めている。原題： JPMorgan’s Matejka Sees Earnings Risk After Resilient First Half（抜粋）
